Date,Thermistor,a,b,c,d,uncert_a,uncert_b,uncert_c,uncert_d,R0
2018-06-15,T17-S1C1-001,0.003661231,0.000288306,3.79E-06,5.36E-07,1.81E-08,4.04E-08,2.58E-08,3.85E-08,15078.17787
2018-06-15,T17-S1C1-002,0.003661385,0.000292076,4.01E-06,7.86E-07,1.81E-08,4.09E-08,2.66E-08,4.01E-08,12906.75123
2018-06-15,T17-S1C1-003,0.003661326,0.000288315,3.48E-06,6.93E-07,1.81E-08,4.04E-08,2.58E-08,3.86E-08,12445.00447
2018-06-15,T17-S1C1-004,0.003661354,0.000287614,3.45E-06,7.34E-07,1.81E-08,4.03E-08,2.57E-08,3.83E-08,12526.81013
2018-06-15,T17-S1C1-005,0.003661346,0.000288396,3.48E-06,7.17E-07,1.81E-08,4.04E-08,2.59E-08,3.86E-08,12235.1669
2018-06-15,T17-S1C1-006,0.003660926,0.000289319,3.50E-06,6.98E-07,1.81E-08,4.06E-08,2.60E-08,3.90E-08,11782.12727
2018-06-15,T17-S1C1-007,0.00366133,0.000288381,3.50E-06,6.79E-07,1.81E-08,4.04E-08,2.58E-08,3.86E-08,12516.1328
2018-06-15,T17-S1C1-008,0.003661248,0.000288363,3.76E-06,5.44E-07,1.81E-08,4.04E-08,2.58E-08,3.85E-08,15076.71547
2018-06-15,T17-S1C1-009,0.003661356,0.000288442,3.53E-06,7.50E-07,1.81E-08,4.04E-08,2.59E-08,3.87E-08,12590.79883
2018-06-15,T17-S1C1-010,0.003661385,0.000288074,3.48E-06,7.82E-07,1.81E-08,4.04E-08,2.58E-08,3.85E-08,12544.25367
2018-06-19,T17-S1C2-011,0.003661463,0.00028856,3.48E-06,7.09E-07,1.81E-08,4.05E-08,2.59E-08,3.88E-08,12213.71723
2018-06-19,T17-S1C2-012,0.00366149,0.000288257,3.44E-06,7.99E-07,1.81E-08,4.05E-08,2.59E-08,3.88E-08,12131.88133
2018-06-19,T17-S1C2-013,0.003661384,0.000288491,3.61E-06,6.25E-07,1.81E-08,4.05E-08,2.59E-08,3.88E-08,13378.98623
2018-06-19,T17-S1C2-014,0.003661467,0.000288271,3.59E-06,7.79E-07,1.81E-08,4.05E-08,2.59E-08,3.87E-08,13238.28697
2018-06-19,T17-S1C2-015,0.003661448,0.000287933,3.49E-06,7.61E-07,1.81E-08,4.05E-08,2.58E-08,3.86E-08,12751.9268
2018-06-19,T17-S1C2-016,0.003661316,0.000288465,3.81E-06,4.35E-07,1.81E-08,4.05E-08,2.59E-08,3.86E-08,16051.05713
2018-06-19,T17-S1C2-017,0.003661452,0.000288575,3.58E-06,7.48E-07,1.81E-08,4.05E-08,2.59E-08,3.88E-08,12754.98113
2018-06-19,T17-S1C2-018,0.003661351,0.000288224,3.70E-06,5.55E-07,1.81E-08,4.04E-08,2.58E-08,3.86E-08,14580.92823
2018-06-19,T17-S1C2-019,0.003661473,0.000288051,3.57E-06,7.86E-07,1.81E-08,4.05E-08,2.58E-08,3.87E-08,12990.99263
2018-06-19,T17-S1C2-020,0.003661466,0.000288706,3.45E-06,7.24E-07,1.81E-08,4.06E-08,2.59E-08,3.89E-08,12223.85363
2018-06-23,T17-S2C3-021,0.003661339,0.000287903,3.70E-06,5.56E-07,1.81E-08,4.03E-08,2.58E-08,3.83E-08,14912.62413
2018-06-23,T17-S2C3-022,0.003661307,0.000288533,3.76E-06,4.91E-07,1.81E-08,4.04E-08,2.59E-08,3.85E-08,15103.81953
2018-06-23,T17-S2C3-023,0.003661437,0.000287231,3.48E-06,7.65E-07,1.81E-08,4.03E-08,2.57E-08,3.82E-08,12794.1338
2018-06-23,T17-S2C3-024,0.003661409,0.00028804,3.52E-06,6.97E-07,1.81E-08,4.04E-08,2.58E-08,3.85E-08,12712.03407
2018-06-23,T17-S2C3-025,0.003661443,0.000288345,3.49E-06,7.25E-07,1.81E-08,4.04E-08,2.59E-08,3.86E-08,12262.74703
2018-06-23,T17-S2C3-026,0.003661431,0.000288152,3.52E-06,7.36E-07,1.81E-08,4.04E-08,2.58E-08,3.85E-08,12608.0605
2018-06-23,T17-S2C3-027,0.00366136,0.000287983,3.62E-06,6.10E-07,1.81E-08,4.03E-08,2.58E-08,3.84E-08,13995.1327
2018-06-23,T17-S2C3-028,0.003661454,0.000287726,3.57E-06,8.00E-07,1.81E-08,4.03E-08,2.58E-08,3.84E-08,13300.8969
2018-06-23,T17-S2C3-029,0.003661336,0.000288814,3.74E-06,5.38E-07,1.81E-08,4.04E-08,2.59E-08,3.87E-08,14583.61037
2018-06-23,T17-S2C3-030,0.003661439,0.000288227,3.45E-06,7.22E-07,1.81E-08,4.04E-08,2.58E-08,3.86E-08,12119.51253
2018-06-05,T17-S2C4-031,0.003661479,0.000287725,3.40E-06,7.83E-07,1.81E-08,4.04E-08,2.58E-08,3.85E-08,12097.25383
2018-06-05,T17-S2C4-032,0.003661346,0.000287957,3.66E-06,5.44E-07,1.81E-08,4.04E-08,2.58E-08,3.84E-08,14481.4108
2018-06-05,T17-S2C4-033,0.003661018,0.000287927,3.40E-06,7.14E-07,1.81E-08,4.04E-08,2.57E-08,3.85E-08,11971.83783
2018-06-05,T17-S2C4-034,0.003661339,0.000288112,3.76E-06,4.82E-07,1.81E-08,4.04E-08,2.58E-08,3.85E-08,15332.54137
2018-06-05,T17-S2C4-035,0.003661341,0.000287964,3.66E-06,5.23E-07,1.81E-08,4.04E-08,2.58E-08,3.84E-08,14305.14947
2018-06-05,T17-S2C4-036,0.003661346,0.000288842,3.72E-06,5.29E-07,1.81E-08,4.05E-08,2.59E-08,3.88E-08,14390.2258
2018-06-05,T17-S2C4-037,0.003661402,0.000288988,3.59E-06,6.54E-07,1.81E-08,4.05E-08,2.60E-08,3.89E-08,13245.01007
2018-06-05,T17-S2C4-038,0.003661379,0.000287884,3.63E-06,6.11E-07,1.81E-08,4.04E-08,2.58E-08,3.84E-08,13877.74773
2018-06-05,T17-S2C4-039,0.003661355,0.000287866,3.61E-06,5.55E-07,1.81E-08,4.04E-08,2.57E-08,3.84E-08,13950.2907
2018-06-05,T17-S2C4-040,0.003661498,0.00028962,3.54E-06,8.20E-07,1.81E-08,4.07E-08,2.61E-08,3.92E-08,12273.75303
2018-06-08,T17-S3C5-041,0.003660979,0.00028801,3.42E-06,7.84E-07,1.81E-08,4.05E-08,2.58E-08,3.87E-08,11962.98797
2018-06-08,T17-S3C5-042,0.003661445,0.00028807,3.60E-06,7.66E-07,1.81E-08,4.05E-08,2.58E-08,3.87E-08,13461.7307
2018-06-08,T17-S3C5-043,0.003661375,0.000288465,3.63E-06,6.44E-07,1.81E-08,4.05E-08,2.59E-08,3.88E-08,13540.17053
2018-06-08,T17-S3C5-044,0.003661442,0.000288504,3.55E-06,7.57E-07,1.81E-08,4.06E-08,2.59E-08,3.89E-08,12648.43783
2018-06-08,T17-S3C5-045,0.003661305,0.000288453,3.71E-06,4.62E-07,1.81E-08,4.05E-08,2.58E-08,3.87E-08,14704.83713
2018-06-08,T17-S3C5-046,0.003661406,0.000288566,3.55E-06,6.81E-07,1.81E-08,4.06E-08,2.59E-08,3.89E-08,12957.04427
2018-06-08,T17-S3C5-047,0.003661331,0.000289006,3.62E-06,5.73E-07,1.81E-08,4.06E-08,2.60E-08,3.90E-08,13686.47847
2018-06-08,T17-S3C5-048,0.00366143,0.0002888,3.61E-06,7.57E-07,1.81E-08,4.06E-08,2.60E-08,3.90E-08,13240.6319
2018-06-08,T17-S3C5-049,0.003661355,0.000288042,3.59E-06,5.98E-07,1.81E-08,4.05E-08,2.58E-08,3.86E-08,13718.61863
2018-06-08,T17-S3C5-050,0.003661402,0.000288561,3.68E-06,6.90E-07,1.81E-08,4.06E-08,2.59E-08,3.89E-08,13904.7827
2018-06-12,T17-S3C6-051,0.003661475,0.000287744,3.58E-06,7.92E-07,1.81E-08,4.03E-08,2.58E-08,3.84E-08,13591.96037
2018-06-12,T17-S3C6-052,0.003661517,0.000288709,3.46E-06,8.29E-07,1.81E-08,4.05E-08,2.60E-08,3.88E-08,12166.4483
2018-06-12,T17-S3C6-053,0.003661426,0.00028779,3.51E-06,6.87E-07,1.81E-08,4.03E-08,2.58E-08,3.84E-08,13004.52513
2018-06-12,T17-S3C6-054,0.003661406,0.000287396,3.54E-06,7.07E-07,1.81E-08,4.03E-08,2.57E-08,3.82E-08,13243.7036
2018-06-12,T17-S3C6-055,0.003661425,0.000289947,3.83E-06,7.17E-07,1.81E-08,4.06E-08,2.62E-08,3.92E-08,13649.11253
2018-06-12,T17-S3C6-056,0.003661338,0.000288071,3.74E-06,5.03E-07,1.81E-08,4.03E-08,2.58E-08,3.84E-08,15298.7618
2018-06-12,T17-S3C6-057,0.003661444,0.00028849,3.48E-06,7.07E-07,1.81E-08,4.04E-08,2.59E-08,3.86E-08,12362.69263
2018-06-23,T17-S3C6-058,0.003661071,0.000284634,2.57E-06,9.17E-07,1.81E-08,4.00E-08,2.51E-08,3.74E-08,14037.74647
2018-06-12,T17-S3C6-059,0.003661395,0.000288723,3.67E-06,6.57E-07,1.81E-08,4.04E-08,2.59E-08,3.87E-08,13853.49043
2018-06-12,T17-S3C6-060,0.003661439,0.000287842,3.60E-06,6.61E-07,1.81E-08,4.03E-08,2.58E-08,3.84E-08,13309.88267
